term,cluster
raccolta differenziata della frazione organica,58
raccolta differenziata della frazione verde,58
gestione,59
gestione dei rifiuti solidi urbani,60
gestione dell'ambiente,61
gestione rifiuti,62
gestione rifiutiinquinamento,63
gestionequalitarifiuti.it,64
gestore,65
gestore del servizio integrato,65
gestore tariffa,65
gestore tru,65
gestori,65
gruppo,66
guardie ecologiche,67
igiene ambientale,68
imballaggi,69
imballaggi in cartone ondulato,69
imballaggi in metallo,69
imballaggi in plastica,69
imballaggi misti,69
impianti autorizzati di recupero,70
recupero,70
impianti di trattamento,71
trattamento,71
indifferenziata,72
indifferenziati,72
indifferenziato,72
raccolta indifferenziata,72
indumenti,73
indumenti dismessi,73
indumenti usati,73
raccolta indumenti dismessi,73
info ingombranti,74
ingombranti,74
raccolta ingombranti,74
rifiuti ingombranti,74
informatizzata,75
ingombranti porta a porta,76
isola,77
isola ecologica,77
isole di flessibilizzazione,77
kit per la raccolta differenziata,78
lampadine,79
lana,80
lattine,81
plastica e lattine,81
umido vetro e lattine,81
vetro e lattine,81
lavaggio strade,82
spazzamento e lavaggio delle strade,82
legname,83
manuale,84
mastelli in plastica,85
materiale conferibile,86
materiali inerti derivanti da costruzione e demolizione provenienti da piccole manutenzioni di utenze domestiche,87
rifiuti domestici,87
rifiuti inerti,87
utenza,87
utenze,87
utenze domestiche,87
micro raccolta amianto,88
microdiscariche abusive,89
modalità di raccolta dei rifiuti assimilati ai rifiuti urbani,90
modalità di raccolta differenziata dei rifiuti ingombranti,91
raccolta differenziata dei rifiuti,91
raccolta differenziata dei rifiuti ingombranti,91
raccolta differenziata delle,91
raccolta differenziata di,91
rifiuti differenziati,91
multimateriale,92
multipack,93
neon,94
oli minerali,95
oli vegetali,96
operazione di smaltimento dei rifiuti,97
operazioni di raccolta,97
smaltimento,97
organico,98
rifiuti organici,98
umido organico,98
pannolini,99
parte variabile,100
pesata dei rifiuti urbani,101
piano industriale dei servizi di igiene urbana,102
pile,103
raccolta differenziata delle pile,103
rifiuti di pile e accumulatori,103
pile a bottone,104
pile esauste,105
plastica,106
plastica e cassette di legno,106
porta a porta,107
presidi sanitari,108
prevenzione,109
produttori di rifiuti speciali,110
produttori di rifiuti urbani e assimilati,111
provenienti da raccolta differenziata,112
pseudo-edili,113
pulizia dei terreni non utilizzati,114
pulizia delle aree esterne,115
punti di distribuzione,116
raccolta,117
raccolta differenziata dei medicinali scaduti,118
raccolta differenziata dei rifiuti urbani,119
raccolta differenziata di rifiuti assimilati agli urbani di origine sanitaria,119
raccolta differenziata del vetro,120
vetro,120
raccolta differenziata della plastica,121
raccolta differenziata domiciliare,122
raccolta domiciliare,122
raccolta e smaltimento dei rifiuti,123
servizio di raccolta e smaltimento dei rifiuti,123
trattamento e smaltimento dei rifiuti,123
raccolta ingombranti e raee,124
raee,124
rifiuti ingombranti e raee,124
raccolta rifiuti,125
raccolta rifiuti da piccole demolizioni domestiche fai da te,126
raccolte,127
raccolte differenziate e conferimenti separati,127
recupero insoluti,128
regolamento di gestione dei rifiuti urbani,129
responsabile,130
riciclo,131
rifiuti urbani avviati al riciclo,131
riconoscimento codice a barre,132
riduzioni superficiarie,133
rifiuti,134
rifiuti abbandonati,135
rifiuti abbandonati sul territorio,136
rifiuti accettati,137
rifiuti alla fonte,138
rifiuti della manutenzione del verde pubblico,139
servizio pubblico di raccolta,139
verde,139
rifiuti di apparecchiatura,140
rifiuti domestici indifferenziati e da raccolta differenziata,141
rifiuti indifferenziati e da raccolta differenziata provenienti,142
rifiuti provenienti da attività cimiteriale,143
rifiuti provenienti dalla pulizia dei mercati,144
rifiuti smart,145
rifiuti speciali e non,146
rifiuti urbani conferiti,147
rifiuto,148
rifiuto non riciclabile,148
rifiutologo,149
rimozione e smaltimento,150
risanamento ambientale dei suoli,151
risanamento dagli inquinamenti,152
ritirarli,153
ritiro gratuito a domicilio,154
ritiro ingombranti e sfalci verdi,155
riutilizzo,156
rup,157
sacchetti distribuiti,158
sacchetti trasparenti,159
sacchi e contenitori dei rifiuti,160
sacchi neri,161
sacchi neri residui,161
sacco,162
scaffali metallici,163
scarico acque meteoriche,164
schemi tariffari,165
servizi a chiamata,166
servizio,167
servizio di gestione dei rifiuti urbani e assimilati,168
servizio di gestione integrata dei rifiuti urbani,169
servizio integrato di gestione dei rifiuti urbani,169
servizio di spazzamento,170
spazzamento,170
spazzamento delle strade,170
spazzamento e lavaggio delle,170
servizio raccolta rifiuti e spazzamento strade,171
servizio rifiuti,172
sfalci d'erba,173
smaltimento dei rifiuti,174
smaltimento dei rifiuti cimiteriali,174
soggetti,175
soggetti passivi,175
spazzamenti,176
spazzamento e lavaggio,177
spazzamento stradale,178
sportello,179
sportello fisico,179
stazione ecologica,180
stazioni ecologiche,180
stazioni di conferiento,181
superficie tassabile,182
sviluppo,183
svuotamento,184
svuotamento dei cestini,184
tari,185
utenza tari autorizzata,185
tariffa,186
tariffa del tributo,186
tariffa rifiuti,186
tariffa sui rifiuti,186
tariffe,186
tariffe del tributo,186
tek.r.a,187
tetra pak,188
tetrapak,189
toner,190
trasporto dei rifiuti urbani,191
trattamento dei dati personali,192
tributo,193
tributo giornaliero,193
tronchi,194
umido,195
umido plastica,195
umido secco,195
utente,196
utenti,196
utenze commerciali,197
utenze non domestiche,198
vasca di raccolta,199
zone di raccolta,200
